DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Alex Len,203458,Sacramento Kings
Kawhi Leonard,202695,LA Clippers
Maxwell Lewis,1641721,Los Angeles Lakers
Kira Lewis Jr.,1630184,Utah Jazz
E.J. Liddell,1630604,New Orleans Pelicans
Damian Lillard,203081,Milwaukee Bucks
Nassir Little,1629642,Phoenix Suns
Dereck Lively II,1641726,Dallas Mavericks
Isaiah Livers,1630587,
Chris Livingston,1641753,Milwaukee Bucks
Kenneth Lofton Jr.,1631254,Utah Jazz
Kevon Looney,1626172,Golden State Warriors
Brook Lopez,201572,Milwaukee Bucks
Robin Lopez,201577,
Kevin Love,201567,Miami Heat
Kyle Lowry,200768,Philadelphia 76ers
Seth Lundy,1641754,Atlanta Hawks
Trey Lyles,1626168,Sacramento Kings
Theo Maledon,1630177,
Sandro Mamukelashvili,1630572,San Antonio Spurs
Terance Mann,1629611,LA Clippers
Tre Mann,1630544,Charlotte Hornets
Boban Marjanovic,1626246,Houston Rockets
Lauri Markkanen,1628374,Utah Jazz
Naji Marshall,1630230,New Orleans Pelicans
Caleb Martin,1628997,Miami Heat
Cody Martin,1628998,Charlotte Hornets
KJ Martin,1630231,Philadelphia 76ers
Garrison Mathews,1629726,Atlanta Hawks
Bennedict Mathurin,1631097,Indiana Pacers
Wesley Matthews,202083,Atlanta Hawks
Tyrese Maxey,1630178,Philadelphia 76ers
Skylar Mays,1630219,Los Angeles Lakers
Miles McBride,1630540,New York Knicks
CJ McCollum,203468,New Orleans Pelicans
T.J. McConnell,204456,Indiana Pacers
Jaden McDaniels,1630183,Minnesota Timberwolves
Jalen McDaniels,1629667,Toronto Raptors
Doug McDermott,203926,Indiana Pacers
JaVale McGee,201580,Sacramento Kings
Bryce McGowens,1631121,Charlotte Hornets
Jordan McLaughlin,1629162,Minnesota Timberwolves
De'Anthony Melton,1629001,Philadelphia 76ers
Nathan Mensah,1641877,
Sam Merrill,1630241,Cleveland Cavaliers
Chimezie Metu,1629002,Detroit Pistons
Vasilije Micic,203995,Charlotte Hornets
Khris Middleton,203114,Milwaukee Bucks
Brandon Miller,1641706,Charlotte Hornets
Jordan Miller,1641757,LA Clippers
Leonard Miller,1631159,Minnesota Timberwolves
Patty Mills,201988,Miami Heat
Shake Milton,1629003,New York Knicks
Justin Minaya,1631303,Portland Trail Blazers
Josh Minott,1631169,Minnesota Timberwolves
Davion Mitchell,1630558,Sacramento Kings
Donovan Mitchell,1628378,Cleveland Cavaliers
Evan Mobley,1630596,Cleveland Cavaliers
Isaiah Mobley,1630600,Cleveland Cavaliers
Malik Monk,1628370,Sacramento Kings
Moses Moody,1630541,Golden State Warriors
Xavier Moon,1629875,LA Clippers
Taze Moore,1631386,
Wendell Moore Jr.,1631111,Minnesota Timberwolves
Ja Morant,1629630,Memphis Grizzlies
Markieff Morris,202693,Dallas Mavericks
Monte Morris,1628420,Minnesota Timberwolves
Marcus Morris Sr.,202694,Cleveland Cavaliers
Trey Murphy III,1630530,New Orleans Pelicans
Dejounte Murray,1627749,Atlanta Hawks
Jamal Murray,1627750,Denver Nuggets
Keegan Murray,1631099,Sacramento Kings
Kris Murray,1631200,Portland Trail Blazers
Mike Muscala,203488,Oklahoma City Thunder
Svi Mykhailiuk,1629004,Boston Celtics
Pete Nance,1631250,Cleveland Cavaliers
Larry Nance Jr.,1626204,New Orleans Pelicans
Andrew Nembhard,1629614,Indiana Pacers
Aaron Nesmith,1630174,Indiana Pacers
Georges Niang,1627777,Cleveland Cavaliers
Daishen Nix,1630227,Minnesota Timberwolves
Zeke Nnaji,1630192,Denver Nuggets
Jaylen Nowell,1629669,
Markquis Nowell,1641806,
Frank Ntilikina,1628373,
Jusuf Nurkic,203994,Phoenix Suns
Jordan Nwora,1629670,Toronto Raptors
Royce O'Neale,1626220,Phoenix Suns
Chuma Okeke,1629643,Orlando Magic
Josh Okogie,1629006,Phoenix Suns
Onyeka Okongwu,1630168,Atlanta Hawks
Isaac Okoro,1630171,Cleveland Cavaliers
Kelly Olynyk,203482,Toronto Raptors
Eugene Omoruyi,1630647,Washington Wizards
Cedi Osman,1626224,San Antonio Spurs
Kelly Oubre Jr.,1626162,Philadelphia 76ers
Chris Paul,101108,Golden State Warriors
Cameron Payne,1626166,Philadelphia 76ers
Gary Payton II,1627780,Golden State Warriors
Maozinha Pereira,1641970,
Drew Peterson,1641809,Boston Celtics
Filip Petrusev,1630196,
Julian Phillips,1641763,Chicago Bulls
Jalen Pickett,1629618,Denver Nuggets
Scotty Pippen Jr.,1630590,Memphis Grizzlies
Mason Plumlee,203486,LA Clippers
Brandin Podziemski,1641764,Golden State Warriors
Jakob Poeltl,1627751,Toronto Raptors
Aleksej Pokusevski,1630197,Charlotte Hornets
Jordan Poole,1629673,Washington Wizards
Jontay Porter,1629007,
Craig Porter Jr.,1641854,Cleveland Cavaliers
Michael Porter Jr.,1629008,Denver Nuggets
Otto Porter Jr.,203490,
Bobby Portis,1626171,Milwaukee Bucks
Kristaps Porzingis,204001,Boston Celtics
Micah Potter,1630695,Utah Jazz
Dwight Powell,203939,Dallas Mavericks
Norman Powell,1626181,LA Clippers
Jason Preston,1630554,Utah Jazz
Joshua Primo,1630563,
Taurean Prince,1627752,Los Angeles Lakers
Payton Pritchard,1630202,Boston Celtics
Olivier-Maxence Prosper,1641765,Dallas Mavericks
Trevelin Queen,1630243,Orlando Magic
Neemias Queta,1629674,Boston Celtics
Immanuel Quickley,1630193,Toronto Raptors
Lester Quinones,1631311,Golden State Warriors
Jahmi'us Ramsey,1630186,
Julius Randle,203944,New York Knicks
Duop Reath,1641871,Portland Trail Blazers
Austin Reaves,1630559,Los Angeles Lakers
Cam Reddish,1629629,Los Angeles Lakers
Paul Reed,1630194,Philadelphia 76ers
Naz Reid,1629675,Minnesota Timberwolves
Jared Rhoden,1631197,Detroit Pistons
Nick Richards,1630208,Charlotte Hornets
Josh Richardson,1626196,Miami Heat
Duncan Robinson,1629130,Miami Heat
Jerome Robinson,1629010,Golden State Warriors
Mitchell Robinson,1629011,New York Knicks
Orlando Robinson,1631115,Miami Heat
Jeremiah Robinson-Earl,1630526,New Orleans Pelicans
David Roddy,1631223,Phoenix Suns
Ryan Rollins,1631157,Milwaukee Bucks
Derrick Rose,201565,Memphis Grizzlies
Terry Rozier,1626179,Miami Heat
Rayan Rupert,1641712,Portland Trail Blazers
D'Angelo Russell,1626156,Los Angeles Lakers
Matt Ryan,1630346,New Orleans Pelicans
Domantas Sabonis,1627734,Sacramento Kings
Luka Samanic,1629677,Utah Jazz
Jermaine Samuels Jr.,1631257,Houston Rockets
Adama Sanogo,1641766,Chicago Bulls
Gui Santos,1630611,Golden State Warriors
Dario Saric,203967,Golden State Warriors
Olivier Sarr,1630846,Oklahoma City Thunder
Marcus Sasser,1631204,Detroit Pistons
Admiral Schofield,1629678,Orlando Magic
Dennis Schroder,203471,Brooklyn Nets
Dereon Seabron,1631220,New Orleans Pelicans
Alperen Sengun,1630578,Houston Rockets
Brice Sensabaugh,1641729,Utah Jazz
Collin Sexton,1629012,Utah Jazz
Landry Shamet,1629013,Washington Wizards
Day'Ron Sharpe,1630549,Brooklyn Nets
Shaedon Sharpe,1631101,Portland Trail Blazers
Ben Sheppard,1641767,Indiana Pacers
Pascal Siakam,1627783,Indiana Pacers
Ben Simmons,1627732,Brooklyn Nets
Kobi Simmons,1628424,
Anfernee Simons,1629014,Portland Trail Blazers
Zavier Simpson,1630285,
Jericho Sims,1630579,New York Knicks
Dmytro Skapintsev,1631376,
Jalen Slawson,1641771,Sacramento Kings
Javonte Smart,1630606,
Marcus Smart,203935,Memphis Grizzlies
Dru Smith,1630696,
Ish Smith,202397,
Jalen Smith,1630188,Indiana Pacers
Terquavion Smith,1631173,Philadelphia 76ers
Dennis Smith Jr.,1628372,Brooklyn Nets
Jabari Smith Jr.,1631095,Houston Rockets
Nick Smith Jr.,1641733,Charlotte Hornets
Jeremy Sochan,1631110,San Antonio Spurs
Pat Spencer,1630311,Golden State Warriors
Jaden Springer,1630531,Boston Celtics
Lamar Stevens,1630205,Memphis Grizzlies
Isaiah Stewart,1630191,Detroit Pistons
Julian Strawther,1631124,Denver Nuggets
Max Strus,1629622,Cleveland Cavaliers
Jalen Suggs,1630591,Orlando Magic
Cole Swider,1631306,Miami Heat
Jae'Sean Tate,1630256,Houston Rockets
Jayson Tatum,1628369,Boston Celtics
Terry Taylor,1630678,
Garrett Temple,202066,Toronto Raptors
Dalen Terry,1631207,Chicago Bulls
Daniel Theis,1628464,LA Clippers
Cam Thomas,1630560,Brooklyn Nets
Isaiah Thomas,202738,Phoenix Suns
Amen Thompson,1641708,Houston Rockets
Ausar Thompson,1641709,Detroit Pistons
Klay Thompson,202691,Golden State Warriors
Tristan Thompson,202684,Cleveland Cavaliers
JT Thor,1630550,Charlotte Hornets
Matisse Thybulle,1629680,Portland Trail Blazers
Xavier Tillman,1630214,Boston Celtics
Jacob Toppin,1631210,New York Knicks
Obi Toppin,1630167,Indiana Pacers
Juan Toscano-Anderson,1629308,
Karl-Anthony Towns,1626157,Minnesota Timberwolves
Gary Trent Jr.,1629018,Toronto Raptors
Oscar Tshiebwe,1631131,Indiana Pacers
P.J. Tucker,200782,LA Clippers
Myles Turner,1626167,Indiana Pacers
Hunter Tyson,1641816,Denver Nuggets
Stanley Umude,1630649,Detroit Pistons
Jonas Valanciunas,202685,New Orleans Pelicans
Fred VanVleet,1627832,Houston Rockets
Jarred Vanderbilt,1629020,Los Angeles Lakers
Devin Vassell,1630170,San Antonio Spurs
Sasha Vezenkov,1628426,Sacramento Kings
Gabe Vincent,1629216,Los Angeles Lakers
Nikola Vucevic,202696,Chicago Bulls
Tristan Vukcevic,1641774,Washington Wizards
Dean Wade,1629731,Cleveland Cavaliers
Franz Wagner,1630532,Orlando Magic
Moritz Wagner,1629021,Orlando Magic
Ish Wainright,1630688,Phoenix Suns
Jabari Walker,1631133,Portland Trail Blazers
Jarace Walker,1641716,Indiana Pacers
Lonnie Walker IV,1629022,Brooklyn Nets
Cason Wallace,1641717,Oklahoma City Thunder
Jordan Walsh,1641775,Boston Celtics
T.J. Warren,203933,Minnesota Timberwolves
P.J. Washington,1629023,Dallas Mavericks
TyTy Washington Jr.,1631102,Milwaukee Bucks
Yuta Watanabe,1629139,Memphis Grizzlies
Lindy Waters III,1630322,Oklahoma City Thunder
Trendon Watford,1630570,Brooklyn Nets
Peyton Watson,1631212,Denver Nuggets
Victor Wembanyama,1641705,San Antonio Spurs
Blake Wesley,1631104,San Antonio Spurs
Russell Westbrook,201566,LA Clippers
Coby White,1629632,Chicago Bulls
Derrick White,1628401,Boston Celtics
Jack White,1631298,
Dariq Whitehead,1641727,Brooklyn Nets
Cam Whitmore,1641715,Houston Rockets
Aaron Wiggins,1630598,Oklahoma City Thunder
Andrew Wiggins,203952,Golden State Warriors
Lindell Wigginton,1629623,
Alondes Williams,1631214,Miami Heat
Brandon Williams,1630314,Dallas Mavericks
Grant Williams,1629684,Charlotte Hornets
Jalen Williams,1631114,Oklahoma City Thunder
Jaylin Williams,1631119,Oklahoma City Thunder
Kenrich Williams,1629026,Oklahoma City Thunder
Malik Williams,1642013,Toronto Raptors
Mark Williams,1631109,Charlotte Hornets
Nate Williams,1631466,Houston Rockets
Patrick Williams,1630172,Chicago Bulls
Ziaire Williams,1630533,Memphis Grizzlies
Robert Williams III,1629057,Portland Trail Blazers
Vince Williams Jr.,1631246,Memphis Grizzlies
Zion Williamson,1629627,New Orleans Pelicans
D.J. Wilson,1628391,
Jalen Wilson,1630592,Brooklyn Nets
Dylan Windler,1629685,Atlanta Hawks
James Wiseman,1630164,Detroit Pistons
Isaiah Wong,1631209,Indiana Pacers
Christian Wood,1626174,Los Angeles Lakers
Delon Wright,1626153,Miami Heat
Thaddeus Young,201152,Phoenix Suns
Trae Young,1629027,Atlanta Hawks
Omer Yurtseven,1630209,Utah Jazz
Cody Zeller,203469,New Orleans Pelicans
Ivica Zubac,1627826,LA Clippers
