,Name,Tm,mlbID,key_bbref
155,Jonathan Bowlan,Kansas City,680742,bowlajo01
157,Matt Bowman,"Arizona,Minnesota,New York,Seattle",621199,bowmama01
158,Brad Boxberger,"Chicago,Milwaukee",502202,boxbebr01
159,Matthew Boyd,"Detroit,Seattle",571510,boydma01
160,Joe Boyle,Oakland,671212,boylejo01
161,Brad Brach,Cincinnati,542960,brachbr01
162,Silvino Bracho,"Atlanta,Cincinnati",611093,brachsi01
163,Cody Bradford,Texas,674003,bradfco01
164,Kyle Bradish,Baltimore,680694,bradiky01
165,Archie Bradley,"Los Angeles,Miami,Philadelphia",605151,bradlar01
166,Jackie Bradley Jr.,Boston,598265,bradlja02
167,Taj Bradley,Tampa Bay,671737,bradlta01
168,Matt Brash,Seattle,666374,brashma01
169,Ryan Brasier,"Boston,Los Angeles",518489,brasiry01
170,Steven Brault,"Chicago,Pittsburgh",643230,braulst01
171,Huascar Brazob\xc3\xa1n,Miami,623211,brazohu01
172,John Brebbia,"Chicago,San Francisco",605154,brebbjo01
173,Brandon Brennan,Boston,592165,brennbr01
174,Jake Brentz,Kansas City,641394,brentja01
175,Colten Brewer,"Boston,Chicago,New York",605155,breweco01
176,Austin Brice,"Boston,Pittsburgh",592169,briceau01
177,Beau Brieske,Detroit,689225,briesbe01
178,Jeff Brigham,"Miami,New York",656257,brighje01
179,Braden Bristo,"Detroit,Tampa Bay",668754,bristbr01
180,Jhony Brito,"New York,San Diego",666745,britojh01
181,Zack Britton,New York,502154,brittza01
183,Connor Brogdon,"Los Angeles,Philadelphia",641401,brogdco01
184,Aaron Brooks,"Oakland,St. Louis",605156,brookaa01
185,Mike Brosseau,Milwaukee,670712,brossmi01
186,Rex Brothers,Chicago,571521,brothre01
187,Ben Brown,Chicago,676962,brownbe02
188,Hunter Brown,Houston,686613,brownhu01
189,JT Brubaker,Pittsburgh,664141,brubajt01
190,Justin Bruihl,"Colorado,Los Angeles,Pittsburgh",677865,bruihju01
191,Kris Bubic,Kansas City,663460,bubickr01
192,Ryan Buchter,Arizona,488748,buchtry01
193,Walker Buehler,Los Angeles,621111,buehlwa01
194,JB Bukauskas,"Arizona,Milwaukee,Seattle",656266,bukaujb01
195,Madison Bumgarner,Arizona,518516,bumgama01
196,Aaron Bummer,"Atlanta,Chicago",607481,bummeaa01
197,Dylan Bundy,"Los Angeles,Minnesota",605164,bundydy01
198,Nick Burdi,"Chicago,New York",595897,burdini01
199,Zack Burdi,"Baltimore,Chicago,Tampa Bay",641420,burdiza01
200,Raymond Burgos,San Francisco,670103,burgora01
201,Brock Burke,Texas,656271,burkebr01
202,Alec Burleson,St. Louis,676475,burleal01
203,Corbin Burnes,"Baltimore,Milwaukee",669203,burneco01
204,Andy Burns,Los Angeles,542992,burnsan01
205,Ryan Burr,"Chicago,Toronto",621114,burrry01
206,Beau Burrows,"Detroit,Minnesota",663366,burrobe01
207,Alan Busenitz,Cincinnati,641427,busenal01
209,Matt Bush,"Milwaukee,Texas",456713,bushma01
210,Jos\xc3\xa9 Butt\xc3\xb3,New York,676130,buttojo01
211,Asdr\xc3\xbabal Cabrera,Arizona,452678,cabreas01
212,Edward Cabrera,Miami,665795,cabreed02
213,G\xc3\xa9nesis Cabrera,"St. Louis,Toronto",650893,cabrege01
214,Oswaldo Cabrera,New York,665828,cabreos01
215,Kelvin Caceres,Los Angeles,680983,cacerke01
216,Trevor Cahill,Pittsburgh,502239,cahiltr01
217,Blair Calvo,Colorado,663971,calvobl01
218,Daniel Camarena,San Diego,547176,camarda01
219,Isaiah Campbell,"Boston,Seattle",663462,campbis01
220,Paul Campbell,Miami,669294,campbpa02
221,Griffin Canning,Los Angeles,656288,cannigr01
222,Jonathan Cannon,Chicago,686563,cannojo02
223,Yennier Cano,"Baltimore,Minnesota",666974,canoye01
224,Matt Carasiti,Colorado,571539,carasma01
225,Victor Caratini,Milwaukee,605170,caratvi01
226,Drew Carlton,"Detroit,San Diego",656290,carltdr01
227,Matt Carpenter,St. Louis,572761,carpema01
228,Carlos Carrasco,"Cleveland,New York",471911,carraca01
229,Daniel Castano,Miami,641447,castada01
230,Ryan Castellani,"Colorado,Oakland",624418,castery01
231,Humberto Castellanos,Arizona,528748,castehu01
232,Diego Castillo,"Minnesota,Seattle,Tampa Bay",650895,castidi01
233,Diego Castillo,Pittsburgh,660636,castidi02
235,Jos\xc3\xa9 Castillo,San Diego,620454,castijo03
236,Luis Castillo,Detroit,622379,castilu03
237,Luis Castillo,"Cincinnati,Seattle",622491,castilu02
238,Max Castillo,"Kansas City,Toronto",666721,castima03
239,Anthony Castro,"Cleveland,Toronto",621593,castran02
240,Harold Castro,"Colorado,Detroit",605612,castrha01
241,Kervin Castro,"Chicago,San Francisco",665645,castrke01
242,Miguel Castro,"Arizona,New York",612434,castrmi01
243,Willi Castro,Minnesota,650489,castrwi01
244,Cade Cavalli,Washington,676917,cavalca01
245,Dylan Cease,"Chicago,San Diego",656302,ceasedy01
246,Slade Cecconi,Arizona,677944,ceccosl01
247,Luis Cessa,"Cincinnati,New York",570666,cessalu01
248,Jhoulys Chac\xc3\xadn,Colorado,468504,chacijh01
249,Andrew Chafin,"Arizona,Chicago,Detroit,Milwaukee,Oakland",605177,chafian01
250,Yu Chang,Tampa Bay,644374,changyu01
251,Aroldis Chapman,"Kansas City,New York,Pittsburgh,Texas",547973,chapmar01
252,JT Chargois,"Miami,Seattle,Tampa Bay",608638,chargjt01
253,Tyler Chatwood,"San Francisco,Toronto",543022,chatwty01
254,Jesse Chavez,"Atlanta,Chicago,Los Angeles",445926,chaveje01
255,Yonny Chirinos,"Atlanta,Miami,Tampa Bay",630023,chiriyo01
256,Angel Chivilli,Colorado,683409,chivian01
257,Adam Cimber,"Los Angeles,Miami,Toronto",643256,cimbead01
258,Steve Cishek,"Los Angeles,Washington",518553,cishest01
259,Jos\xc3\xa9 Cisnero,"Detroit,Los Angeles",542585,cisnejo01
261,Aaron Civale,"Cleveland,Milwaukee,Tampa Bay",650644,civalaa01
262,Taylor Clarke,"Arizona,Kansas City",664199,clarkta01
263,Emmanuel Clase,Cleveland,661403,claseem01
264,Alex Claudio,"Los Angeles,Milwaukee,New York",592222,claudal01
265,Sam Clay,"New York,Washington",621348,claysa01
266,Garrett Cleavinger,"Los Angeles,Tampa Bay",664076,cleavga01
267,Kody Clemens,"Detroit,Philadelphia",665019,clemeko01
268,Ernie Clement,"Cleveland,Toronto",676391,clemeer01
269,Mike Clevinger,"Chicago,San Diego",605182,clevimi01
270,Tyler Clippard,"Arizona,Washington",461325,clippty01
271,Alex Cobb,"Los Angeles,San Francisco",502171,cobbal01
272,Kyle Cody,Texas,621129,codyky01
273,A.J. Cole,Toronto,595918,coleaj01
274,Gerrit Cole,New York,543037,colege01
275,Dylan Coleman,"Houston,Kansas City",669395,colemdy01
276,Alex Colom\xc3\xa9,"Chicago,Colorado,Minnesota",517008,colomal01
277,Adam Conley,Tampa Bay,543045,conlead01
278,Luis Contreras,Houston,664351,contrlu01
279,Roansy Contreras,"Los Angeles,Pittsburgh",672710,contrro01
280,Sam Coonrod,"New York,Philadelphia",656322,coonrsa01
281,Patrick Corbin,Washington,571578,corbipa01
282,Jimmy Cordero,New York,622772,cordeji01
283,Nestor Cortes,New York,641482,cortene01
284,Tom Cosgrove,San Diego,676680,cosgrto01
285,Jharel Cotton,"Minnesota,San Francisco,Texas",605194,cottojh01
287,Danny Coulombe,"Baltimore,Minnesota",543056,couloda01
288,Jake Cousins,"Milwaukee,New York",664776,cousija01
289,Dylan Covey,"Los Angeles,Philadelphia",592229,coveydy01
290,Austin Cox,Kansas City,680735,coxau01
291,Brandon Crawford,San Francisco,543063,crawfbr01
292,Kutter Crawford,Boston,676710,crawfku01
293,Stefan Crichton,Arizona,592233,crichst01
294,Kyle Crick,"Chicago,Pittsburgh",605195,crickky01
295,Nabil Crismatt,"Arizona,Los Angeles,San Diego",622503,crismna01
296,Cooper Criswell,"Boston,Los Angeles,Tampa Bay",681867,criswco01
297,Garrett Crochet,Chicago,676979,crochga01
298,Jake Cronenworth,San Diego,630105,croneja01
299,Declan Cronin,"Chicago,Miami",686539,cronide01
300,Hans Crouse,"Los Angeles,Philadelphia",668968,crousha01
301,Wil Crowe,Pittsburgh,640444,crowewi01
302,Fernando Cruz,Cincinnati,518585,cruzfe01
303,Jesus Cruz,Atlanta,672911,cruzje01
304,Steven Cruz,Kansas City,674444,cruzst01
305,Jos\xc3\xa9 Cuas,"Chicago,Kansas City,Toronto",621016,cuasjo01
306,Johnny Cueto,"Chicago,Miami,San Francisco",456501,cuetojo01
307,Charlie Culberson,Texas,518586,culbech01
308,Xzavion Curry,Cleveland,675540,curryxz01
309,John Curtiss,"Colorado,Miami,Milwaukee,New York",595928,curtijo02
310,Tyler Cyr,"Los Angeles,Oakland,Philadelphia",664202,cyrty01
311,Davis Daniel,Los Angeles,669721,danieda01
313,Tyler Danish,Boston,641501,danisty01
314,Hagen Danner,Toronto,668470,danneha01
315,Yu Darvish,San Diego,506433,darviyu01
316,Tucker Davidson,"Atlanta,Kansas City,Los Angeles",656353,davidtu01
317,Zach Davies,"Arizona,Chicago",605200,davieza02
318,Austin Davis,"Boston,Minnesota,Pittsburgh,San Diego",656354,davisau01
319,Noah Davis,Colorado,663562,davisno01
320,Wade Davis,Kansas City,451584,daviswa01
321,Grant Dayton,Atlanta,594795,daytogr01
322,Brett de Geus,"Arizona,Seattle,Texas",676969,degeubr01
323,\xc3\x81ngel De Jes\xc3\xbas,Detroit,669804,dejesan01
324,Enmanuel De Jesus,Miami,646241,dejesen01
325,Chase De Jong,Pittsburgh,608328,dejonch01
326,Jos\xc3\xa9 De Le\xc3\xb3n,"Cincinnati,Minnesota",592254,deleojo03
327,Enyel De Los Santos,"Cleveland,Philadelphia,Pittsburgh,San Diego",660853,delosen01
328,Yerry De Los Santos,Pittsburgh,660787,delosye01
329,Jacob deGrom,"New York,Texas",594798,degroja01
330,Miguel Del Pozo,Detroit,600887,delpomi01
331,Matt Dermody,"Boston,Chicago",571616,dermoma01
332,Anthony DeSclafani,San Francisco,543101,desclan01
333,Reid Detmers,Los Angeles,672282,detmere01
334,Ross Detwiler,"Cincinnati,Miami,San Diego",446321,detwiro01
335,Chris Devenski,"Arizona,Los Angeles,Philadelphia,Tampa Bay",606965,devench02
336,Alexis D\xc3\xadaz,Cincinnati,664747,diazal03
337,Edwin D\xc3\xadaz,New York,621242,diazed04
339,Jhonathan D\xc3\xadaz,"Los Angeles,Seattle",646242,diazjh01
340,Miguel D\xc3\xadaz,"Detroit,Houston,San Diego",622766,diazmi02
341,Yennsy D\xc3\xadaz,New York,660546,diazye01
342,Yilber Diaz,Arizona,700270,diazyi01
343,Corey Dickerson,St. Louis,572816,dickeco01
344,Brandon Dickson,St. Louis,505447,dicksbr01
345,Phillip Diehl,Cincinnati,670426,diehlph01
346,Jake Diekman,"Boston,Chicago,New York,Oakland,Tampa Bay",518617,diekmja01
347,Wilmer Difo,Pittsburgh,594694,difowi01
348,Marcos Dipl\xc3\xa1n,Baltimore,650959,diplama01
349,Brandon Dixon,San Diego,641525,dixonbr01
350,Randy Dobnak,Minnesota,677976,dobnara01
351,Dylan Dodd,Atlanta,689266,dodddy01
352,Kyle Dohy,Philadelphia,675971,dohyky01
353,Rafael Dolis,Toronto,503569,dolisra01
354,Seranthony Dom\xc3\xadnguez,Philadelphia,622554,dominse01
355,Josh Donaldson,New York,518626,donaljo02
356,Sean Doolittle,"Cincinnati,Seattle,Washington",448281,doolise01
357,Camilo Doval,San Francisco,666808,dovalca01
358,Kyle Dowdy,Cincinnati,664871,dowdyky01
359,Tommy Doyle,Colorado,656382,doyleto01
360,Hunter Dozier,Kansas City,641531,doziehu01
361,Brandon Drury,New York,592273,drurybr01
362,Daniel Duarte,"Cincinnati,Minnesota",650960,duartda01
363,Shawn Dubin,Houston,681869,dubinsh01
365,Tyler Duffey,"Chicago,Kansas City,Minnesota",608648,duffety01
366,Danny Duffy,Kansas City,518633,duffyda01
367,Matt Duffy,"Chicago,Kansas City",622110,duffyma01
368,Robert Dugger,"Cincinnati,Seattle,Tampa Bay",667498,duggero01
369,Justin Dunn,"Cincinnati,Seattle",643290,dunnju01
370,Dane Dunning,Texas,641540,dunnida01
371,Jon Duplantier,Arizona,641541,duplajo01
372,Jhoan Dur\xc3\xa1n,Minnesota,661395,duranjh01
373,Nick Duron,Philadelphia,663975,duronni01
374,Adam Eaton,Los Angeles,594809,eatonad02
375,Nate Eaton,Kansas City,681987,eatonna01
376,Carl Edwards Jr.,"Atlanta,Toronto,Washington",605218,edwarca01
377,Scott Effross,"Chicago,New York",664123,effrosc01
378,Zach Eflin,"Philadelphia,Tampa Bay",621107,eflinza01
379,Jerad Eickhoff,"New York,Pittsburgh",595191,eickhje01
380,Brandon Eisert,Toronto,685126,eiserbr01
381,Bryce Elder,Atlanta,693821,elderbr01
382,Roenis El\xc3\xadas,Seattle,606273,eliasro01
383,Seth Elledge,St. Louis,676220,elledse01
384,Chris Ellis,"Baltimore,Tampa Bay",595939,ellisch01
385,Kent Emanuel,"Houston,Miami",592288,emanuke01
386,Mason Englert,Detroit,669438,englema01
387,Dietrich Enns,Tampa Bay,608650,ennsdi01
388,Nathan Eovaldi,"Boston,Texas",543135,eovalna01
389,Lucas Erceg,Oakland,668674,erceglu01
391,Robbie Erlin,Los Angeles,572362,erlinro01
392,Alcides Escobar,Washington,444876,escobal02
393,Eduardo Escobar,Los Angeles,500871,escobed01
