,Name,Tm,mlbID,key_bbref
214,Corbin Carroll,Arizona,682998,carroco02
215,Evan Carter,Texas,694497,carteev01
216,Curt Casali,"Cincinnati,San Francisco,Seattle",592200,casalcu01
217,Triston Casas,Boston,671213,casastr01
218,Daniel Castano,Miami,641447,castada01
219,Ryan Castellani,Colorado,624418,castery01
220,Humberto Castellanos,Arizona,528748,castehu01
221,Nick Castellanos,"Cincinnati,Philadelphia",592206,casteni01
222,Diego Castillo,"Arizona,Pittsburgh",660636,castidi02
223,Erick Castillo,Chicago,602080,castier01
224,Ivan Castillo,San Diego,622668,castiiv01
225,Luis Castillo,Cincinnati,622491,castilu02
226,Harold Castro,"Colorado,Detroit",605612,castrha01
227,Jason Castro,Houston,488771,castrja01
228,Rodolfo Castro,"Philadelphia,Pittsburgh",666801,castrro01
229,Starlin Castro,Washington,516770,castrst01
230,Willi Castro,"Detroit,Minnesota",650489,castrwi01
231,Jake Cave,"Colorado,Minnesota,Philadelphia",595909,caveja01
232,Dylan Cease,Chicago,656302,ceasedy01
233,Gilberto Celestino,Minnesota,665482,celesgi01
235,Jhoulys Chac\xc3\xadn,Colorado,468504,chacijh01
236,Yu Chang,"Boston,Cleveland,Pittsburgh,Tampa Bay",644374,changyu01
237,Matt Chapman,"Oakland,San Francisco,Toronto",656305,chapmma01
238,Tyler Chatwood,San Francisco,543022,chatwty01
239,Jesse Chavez,Atlanta,445926,chaveje01
240,Michael Chavis,"Boston,Pittsburgh,Washington",656308,chavimi01
241,Robinson Chirinos,"Baltimore,Chicago",455139,chiriro01
242,Jazz Chisholm Jr.,Miami,665862,chishja01
243,Jiman Choi,"Pittsburgh,San Diego,Tampa Bay",596847,choiji01
244,Jackson Chourio,Milwaukee,694192,chourja01
245,Adam Cimber,Miami,643256,cimbead01
246,Nick Ciuffo,Baltimore,624419,ciuffni01
247,Aaron Civale,Cleveland,650644,civalaa01
248,Taylor Clarke,Arizona,664199,clarkta01
249,Jonatan Clase,Seattle,682729,clasejo01
250,Sam Clay,Washington,621348,claysa01
251,Garrett Cleavinger,Los Angeles,664076,cleavga01
252,Kody Clemens,"Detroit,Philadelphia",665019,clemeko01
253,Ernie Clement,"Cleveland,Oakland,Toronto",676391,clemeer01
254,Alex Cobb,Los Angeles,502171,cobbal01
255,Oscar Col\xc3\xa1s,Chicago,693049,colasos01
256,Zack Collins,"Chicago,Cleveland,Pittsburgh,Toronto",641470,colliza01
257,Michael Conforto,"New York,San Francisco",624424,confomi01
258,Mark Contreras,Minnesota,676628,contrma01
259,William Contreras,"Atlanta,Milwaukee",661388,contrwi02
261,Willson Contreras,"Chicago,St. Louis",575929,contrwi01
262,Sam Coonrod,Philadelphia,656322,coonrsa01
263,Garrett Cooper,"Boston,Chicago,Miami,San Diego",643265,coopega03
264,Patrick Corbin,Washington,571578,corbipa01
265,Franchy Cordero,"Boston,New York",614173,cordefr02
266,Carlos Correa,"Houston,Minnesota",621043,correca01
267,Nestor Cortes,New York,641482,cortene01
268,Danny Coulombe,Minnesota,543056,couloda01
269,Colton Cowser,Baltimore,681297,cowseco01
270,Will Craig,Pittsburgh,643269,craigwi01
271,Brandon Crawford,"San Francisco,St. Louis",543063,crawfbr01
272,J.P. Crawford,Seattle,641487,crawfjp01
273,Kutter Crawford,Boston,676710,crawfku01
274,Nabil Crismatt,San Diego,622503,crismna01
275,C.J. Cron,"Colorado,Los Angeles",543068,croncj01
276,Jake Cronenworth,San Diego,630105,croneja01
277,Narciso Crook,Chicago,643271,crookna01
278,Tyler Cropley,Kansas City,680418,croplty01
279,Hans Crouse,Philadelphia,668968,crousha01
280,Pete Crow-Armstrong,Chicago,691718,crowape01
281,Wil Crowe,Pittsburgh,640444,crowewi01
282,Nelson Cruz,"Minnesota,San Diego,Tampa Bay,Washington",443558,cruzne02
283,Oneil Cruz,Pittsburgh,665833,cruzon01
284,Johnny Cueto,San Francisco,456501,cuetojo01
285,Charlie Culberson,"Atlanta,Texas",518586,culbech01
287,John Curtiss,Miami,595928,curtijo02
288,Travis d\'Arnaud,Atlanta,518595,darnatr01
289,David Dahl,"San Diego,Texas",621311,dahlda01
290,Bobby Dalbec,Boston,666915,dalbebo01
291,Yu Darvish,San Diego,506433,darviyu01
292,Matt Davidson,"Arizona,Oakland",571602,davidma02
293,Tucker Davidson,Atlanta,656353,davidtu01
294,Zach Davies,Chicago,605200,davieza02
295,Austin Davis,Boston,656354,davisau01
296,Brendon Davis,Detroit,663478,davisbr04
297,Henry Davis,Pittsburgh,680779,davishe01
298,J.D. Davis,"New York,Oakland,San Francisco",605204,davisjd01
299,Jaylin Davis,"Boston,San Francisco",664041,davisja03
300,Jonathan Davis,"Miami,Milwaukee,New York,Toronto",641505,davisjo05
301,Khris Davis,"Oakland,Texas",501981,daviskh01
302,Taylor Davis,Pittsburgh,543089,davista01
303,Ronnie Dawson,"Cincinnati,Houston",669008,dawsoro01
304,Yonathan Daza,Colorado,602074,dazayo01
305,Alex De Goti,Houston,621008,degotal01
306,Chase De Jong,Pittsburgh,608328,dejonch01
307,Bryan De La Cruz,Miami,650559,delacbr01
308,Elly De La Cruz,Cincinnati,682829,delacel01
309,Jos\xc3\xa9 De Le\xc3\xb3n,Cincinnati,592254,deleojo03
310,Austin Dean,"San Francisco,St. Louis",621573,deanau01
311,Jacob deGrom,New York,594798,degroja01
313,Greg Deichmann,Chicago,656364,deichgr01
314,Paul DeJong,"Chicago,San Francisco,St. Louis,Toronto",657557,dejonpa01
315,Jason Delay,Pittsburgh,641511,delayja01
316,Zach DeLoach,Chicago,676113,
317,Jonny DeLuca,"Los Angeles,Tampa Bay",676356,delucjo01
318,Ben DeLuzio,St. Louis,641512,deluzbe01
319,Travis Demeritte,Atlanta,641513,demertr01
320,Anthony DeSclafani,San Francisco,543101,desclan01
321,Delino DeShields,Cincinnati,592261,deshide02
322,Reid Detmers,Los Angeles,672282,detmere01
323,Ross Detwiler,Miami,446321,detwiro01
324,Jos\xc3\xa9 Devers,Miami,672701,deverjo01
325,Rafael Devers,Boston,646240,deverra01
326,Aledmys D\xc3\xadaz,"Houston,Oakland",649557,diazal02
327,Elias D\xc3\xadaz,Colorado,553869,diazel01
328,Isan D\xc3\xadaz,"Detroit,Miami,San Francisco",656371,diazis01
329,Jordan Diaz,Oakland,672478,diazjo03
330,Lewin D\xc3\xadaz,Miami,650331,diazle01
331,Miguel D\xc3\xadaz,San Diego,622766,diazmi02
332,Yainer Diaz,Houston,673237,diazya02
333,Yandy D\xc3\xadaz,Tampa Bay,650490,diazya01
334,Yennsy D\xc3\xadaz,New York,660546,diazye01
335,Yusniel Diaz,Baltimore,666783,diazyu01
336,Alex Dickerson,"Atlanta,San Francisco",543105,dickeal01
337,Corey Dickerson,"Miami,St. Louis,Toronto,Washington",572816,dickeco01
339,Jake Diekman,Oakland,518617,diekmja01
340,Wilmer Difo,"Arizona,Pittsburgh",594694,difowi01
341,Brandon Dixon,San Diego,641525,dixonbr01
342,Jasson Dom\xc3\xadnguez,New York,691176,dominja01
343,Josh Donaldson,"Milwaukee,Minnesota,New York",518626,donaljo02
344,Brendan Donovan,St. Louis,680977,donovbr01
345,Ryan Dorow,Texas,676900,dorowry01
346,Jeter Downs,"Boston,Washington",669023,downsje01
347,Brenton Doyle,Colorado,686668,doylebr02
348,Hunter Dozier,Kansas City,641531,doziehu01
349,Brandon Drury,"Cincinnati,Los Angeles,New York,San Diego",592273,drurybr01
350,Mauricio Dub\xc3\xb3n,"Houston,San Francisco",643289,dubonma01
351,Matt Duffy,"Chicago,Kansas City,Los Angeles",622110,duffyma01
352,Steven Duggar,"Los Angeles,San Francisco,Texas",621453,duggast01
353,Joe Dunand,Miami,656388,dunanjo01
354,Justin Dunn,Seattle,643290,dunnju01
355,Oliver Dunn,Milwaukee,686554,dunnol01
356,Dane Dunning,Texas,641540,dunnida01
357,Jon Duplantier,Arizona,641541,duplajo01
358,Ezequiel Duran,Texas,677649,duranez01
359,Jarren Duran,Boston,680776,duranja01
360,Adam Duvall,"Atlanta,Boston,Miami",594807,duvalad01
361,Jarrod Dyson,"Kansas City,Toronto",502481,dysonja01
362,Adam Eaton,"Chicago,Los Angeles",594809,eatonad02
