date,game_id,home_team,away_team,runline,runs_total,prediction,outcome
2025-05-24,777784,Athletics,Philadelphia Phillies,10.0,15.0,1,1
2025-05-23,777806,Pittsburgh Pirates,Milwaukee Brewers,7.0,11.0,0,1
2025-05-23,777811,Cincinnati Reds,Chicago Cubs,8.5,19.0,0,1
2025-05-23,777801,Washington Nationals,San Francisco Giants,7.5,4.0,1,0
2025-05-23,777810,Tampa Bay Rays,Toronto Blue Jays,8.5,4.0,0,0
2025-05-23,777807,Detroit Tigers,Cleveland Guardians,8.5,4.0,0,0
2025-05-23,777813,Atlanta Braves,San Diego Padres,8.0,3.0,0,0
2025-05-23,777808,New York Mets,Los Angeles Dodgers,8.5,12.0,1,1
2025-05-23,777805,Chicago White Sox,Texas Rangers,7.5,5.0,0,0
2025-05-23,777799,Minnesota Twins,Kansas City Royals,7.5,4.0,1,0
2025-05-23,777800,Houston Astros,Seattle Mariners,8.5,8.0,1,0
2025-05-23,777797,St. Louis Cardinals,Arizona Diamondbacks,8.0,7.0,0,0
2025-05-23,777802,Colorado Rockies,New York Yankees,11.5,5.0,0,0
2025-05-23,777798,Los Angeles Angels,Miami Marlins,8.5,11.0,0,1
2025-05-23,777804,Athletics,Philadelphia Phillies,9.5,7.0,1,0
2025-08-03,776895,Boston Red Sox,Houston Astros,8.0,7.0,0,0
2025-08-03,776889,Tampa Bay Rays,Los Angeles Dodgers,8.5,3.0,0,0
2025-08-03,776887,New York Mets,San Francisco Giants,9.0,16.0,1,1
2025-08-03,776894,Washington Nationals,Milwaukee Brewers,8.5,17.0,1,1
2025-08-03,776893,Toronto Blue Jays,Kansas City Royals,8.0,11.0,1,1
2025-08-03,776892,Cleveland Guardians,Minnesota Twins,8.0,9.0,1,1
2025-08-03,776891,Miami Marlins,New York Yankees,7.5,10.0,0,1
2025-08-03,776888,Chicago Cubs,Baltimore Orioles,8.0,8.0,0,
2025-08-03,776886,Colorado Rockies,Pittsburgh Pirates,11.0,14.0,0,1
2025-08-03,776885,Los Angeles Angels,Chicago White Sox,9.5,13.0,0,1
2025-08-03,776881,Athletics,Arizona Diamondbacks,10.0,10.0,0,
2025-08-03,776883,Seattle Mariners,Texas Rangers,7.5,9.0,0,1
2025-08-03,776890,Philadelphia Phillies,Detroit Tigers,8.5,2.0,0,0
2025-08-03,776884,San Diego Padres,St. Louis Cardinals,8.0,10.0,0,1
2025-08-04,776874,Detroit Tigers,Minnesota Twins,8.5,9.0,0,1
2025-08-04,776879,Pittsburgh Pirates,San Francisco Giants,8.5,9.0,0,1
2025-08-04,776875,Miami Marlins,Houston Astros,8.0,10.0,0,1
2025-08-04,776877,Philadelphia Phillies,Baltimore Orioles,9.0,16.0,1,1
2025-08-04,776880,Boston Red Sox,Kansas City Royals,9.5,13.0,1,1
2025-08-04,776878,Chicago Cubs,Cincinnati Reds,7.0,5.0,1,0
2025-08-04,776882,Atlanta Braves,Milwaukee Brewers,8.0,4.0,1,0
2025-08-04,776876,New York Mets,Cleveland Guardians,8.0,13.0,0,1
2025-08-04,776871,Texas Rangers,New York Yankees,7.5,13.0,0,1
2025-08-04,776867,Los Angeles Angels,Tampa Bay Rays,8.5,6.0,0,0
2025-08-04,776872,Colorado Rockies,Toronto Blue Jays,12.0,16.0,0,1
2025-08-04,776873,Arizona Diamondbacks,San Diego Padres,9.0,8.0,0,0
2025-08-04,776870,Los Angeles Dodgers,St. Louis Cardinals,8.0,5.0,1,0
2025-03-28,778560,Tampa Bay Rays,Colorado Rockies,8.0,5.0,1,0
2025-03-28,778549,Toronto Blue Jays,Baltimore Orioles,8.5,10.0,1,1
2025-03-28,778548,Miami Marlins,Pittsburgh Pirates,8.0,7.0,0,0
2025-03-28,778550,Texas Rangers,Boston Red Sox,9.0,5.0,1,0
2025-03-28,778518,Houston Astros,New York Mets,8.0,4.0,1,0
2025-03-28,778543,Arizona Diamondbacks,Chicago Cubs,9.0,9.0,0,
2025-03-28,778541,Seattle Mariners,Athletics,7.0,7.0,1,
2025-03-28,778542,San Diego Padres,Atlanta Braves,7.0,7.0,0,
2025-03-28,778544,Los Angeles Dodgers,Detroit Tigers,7.0,13.0,1,1
2025-06-09,777580,Cleveland Guardians,Cincinnati Reds,9.0,11.0,0,1
2025-06-09,777578,Philadelphia Phillies,Chicago Cubs,7.5,7.0,0,0
2025-06-09,777574,Pittsburgh Pirates,Miami Marlins,8.0,13.0,0,1
2025-06-09,777584,Boston Red Sox,Tampa Bay Rays,8.5,16.0,1,1
2025-06-09,777575,Milwaukee Brewers,Atlanta Braves,7.5,8.0,1,1
2025-06-09,777581,St. Louis Cardinals,Toronto Blue Jays,8.5,9.0,1,1
2025-05-31,777701,Toronto Blue Jays,Athletics,9.0,15.0,1,1
2025-05-31,777704,Chicago Cubs,Cincinnati Reds,7.0,2.0,1,0
2025-05-31,777697,Texas Rangers,St. Louis Cardinals,8.5,2.0,1,0
2025-05-31,777702,Philadelphia Phillies,Milwaukee Brewers,8.0,24.0,1,1
2025-05-31,777694,Kansas City Royals,Detroit Tigers,8.0,1.0,0,0
2025-05-31,777699,Baltimore Orioles,Chicago White Sox,8.5,6.0,0,0
2025-05-31,777703,Cleveland Guardians,Los Angeles Angels,8.0,12.0,1,1
2025-05-31,777700,New York Mets,Colorado Rockies,8.5,10.0,0,1
2025-05-31,777693,Houston Astros,Tampa Bay Rays,8.5,19.0,0,1
2025-05-31,777706,Atlanta Braves,Boston Red Sox,8.5,5.0,1,0
2025-05-31,777705,Miami Marlins,San Francisco Giants,7.5,1.0,0,0
2025-05-31,777691,San Diego Padres,Pittsburgh Pirates,7.5,5.0,0,0
2025-05-31,777695,Seattle Mariners,Minnesota Twins,7.0,9.0,0,1
2025-05-31,777698,Los Angeles Dodgers,New York Yankees,9.5,20.0,1,1
2025-05-31,777696,Arizona Diamondbacks,Washington Nationals,9.5,18.0,0,1
2025-08-26,776591,Baltimore Orioles,Boston Red Sox,8.5,5.0,1,0
2025-08-26,776584,Cleveland Guardians,Tampa Bay Rays,7.5,3.0,0,0
2025-08-26,776581,Miami Marlins,Atlanta Braves,8.0,13.0,0,1
2025-08-26,776588,New York Yankees,Washington Nationals,9.0,6.0,1,0
2025-08-26,776582,Toronto Blue Jays,Minnesota Twins,8.5,12.0,1,1
2025-08-26,776585,New York Mets,Philadelphia Phillies,8.5,11.0,1,1
2025-08-26,776586,Milwaukee Brewers,Arizona Diamondbacks,8.0,17.0,0,1
2025-08-26,776583,Chicago White Sox,Kansas City Royals,8.5,9.0,0,1
2025-08-26,776578,St. Louis Cardinals,Pittsburgh Pirates,8.0,11.0,1,1
2025-08-26,776575,Texas Rangers,Los Angeles Angels,8.5,10.0,0,1
2025-08-26,776587,Houston Astros,Colorado Rockies,8.0,7.0,0,0
2025-08-26,776574,Los Angeles Dodgers,Cincinnati Reds,8.5,9.0,0,1
2025-08-26,776577,Seattle Mariners,San Diego Padres,8.0,13.0,0,1
2025-08-26,776576,San Francisco Giants,Chicago Cubs,7.5,7.0,0,0
2025-08-26,776573,Athletics,Detroit Tigers,11.0,13.0,1,1
2025-08-21,776653,Minnesota Twins,Athletics,9.5,11.0,0,1
2025-08-21,776657,Kansas City Royals,Texas Rangers,9.0,10.0,0,1
2025-08-21,776651,Chicago Cubs,Milwaukee Brewers,6.5,5.0,1,0
2025-08-21,776644,Colorado Rockies,Los Angeles Dodgers,12.0,14.0,0,1
2025-08-21,776650,Washington Nationals,New York Mets,8.0,12.0,1,1
2025-08-21,776642,San Diego Padres,San Francisco Giants,7.5,12.0,0,1
2025-08-21,776655,Baltimore Orioles,Houston Astros,8.5,9.0,0,1
2025-08-21,776631,Tampa Bay Rays,St. Louis Cardinals,8.5,11.0,1,1
2025-08-21,776654,New York Yankees,Boston Red Sox,8.5,9.0,1,1
2025-05-13,777944,Cleveland Guardians,Milwaukee Brewers,9.0,2.0,1,0
2025-05-13,777940,Detroit Tigers,Boston Red Sox,8.5,19.0,0,1
2025-05-13,777945,Cincinnati Reds,Chicago White Sox,9.0,6.0,0,0
2025-05-13,777935,Toronto Blue Jays,Tampa Bay Rays,8.0,20.0,1,1
2025-05-13,777943,New York Mets,Pittsburgh Pirates,7.5,3.0,0,0
2025-05-13,777942,Atlanta Braves,Washington Nationals,8.5,7.0,0,0
2025-05-13,777936,Chicago Cubs,Miami Marlins,8.0,9.0,1,1
2025-05-13,777931,Houston Astros,Kansas City Royals,7.5,3.0,0,0
2025-05-13,777934,Texas Rangers,Colorado Rockies,8.5,5.0,1,0
2025-05-13,777932,San Diego Padres,Los Angeles Angels,7.5,10.0,0,1
2025-05-13,777926,Seattle Mariners,New York Yankees,7.5,3.0,0,0
2025-05-13,777930,San Francisco Giants,Arizona Diamondbacks,7.5,16.0,1,1
2025-05-13,777937,Los Angeles Dodgers,Athletics,9.0,12.0,0,1
2025-05-14,777938,Baltimore Orioles,Minnesota Twins,8.5,14.0,0,1
2025-05-14,777938,Baltimore Orioles,Minnesota Twins,8.5,14.0,0,1
2025-05-14,777933,Philadelphia Phillies,St. Louis Cardinals,8.5,21.0,1,1
2025-05-14,777922,Philadelphia Phillies,St. Louis Cardinals,8.0,3.0,1,0
2025-05-14,777916,San Francisco Giants,Arizona Diamondbacks,8.5,15.0,0,1
2025-05-14,777925,Cleveland Guardians,Milwaukee Brewers,8.0,14.0,0,1
2025-05-14,777923,Toronto Blue Jays,Tampa Bay Rays,8.0,4.0,0,0
2025-05-14,777915,Seattle Mariners,New York Yankees,8.0,5.0,0,0
2025-05-14,777927,Detroit Tigers,Boston Red Sox,7.0,11.0,0,1
2025-05-14,777919,New York Mets,Pittsburgh Pirates,7.5,4.0,0,0
2025-05-14,777928,Cincinnati Reds,Chicago White Sox,8.5,6.0,0,0
2025-05-14,777929,Atlanta Braves,Washington Nationals,9.0,9.0,1,
2025-05-14,777921,Chicago Cubs,Miami Marlins,7.5,4.0,0,0
2025-05-14,777918,Texas Rangers,Colorado Rockies,9.0,11.0,0,1
2025-05-14,777914,San Diego Padres,Los Angeles Angels,8.5,6.0,1,0
2025-05-14,777917,Los Angeles Dodgers,Athletics,8.5,12.0,0,1
2025-05-14,777920,Houston Astros,Kansas City Royals,8.5,7.0,0,0
2025-07-02,777284,Washington Nationals,Detroit Tigers,8.0,13.0,0,1
2025-07-02,777271,Tampa Bay Rays,Athletics,9.0,11.0,0,1
2025-07-02,777290,Philadelphia Phillies,San Diego Padres,9.0,6.0,0,0
2025-07-02,777289,New York Mets,Milwaukee Brewers,8.5,9.0,1,1
2025-07-02,777272,Pittsburgh Pirates,St. Louis Cardinals,7.5,5.0,0,0
2025-07-02,777284,Washington Nationals,Detroit Tigers,9.0,13.0,0,1
2025-07-02,777273,Philadelphia Phillies,San Diego Padres,7.5,10.0,1,1
2025-07-02,777289,New York Mets,Milwaukee Brewers,8.0,9.0,1,1
2025-07-02,777274,Toronto Blue Jays,New York Yankees,8.5,20.0,1,1
2025-07-02,777279,Atlanta Braves,Los Angeles Angels,9.5,11.0,1,1
2025-07-02,777277,Boston Red Sox,Cincinnati Reds,9.5,12.0,1,1
2025-07-02,777275,Miami Marlins,Minnesota Twins,8.5,3.0,1,0
2025-07-02,777266,Chicago Cubs,Cleveland Guardians,8.5,9.0,0,1
2025-07-02,777268,Texas Rangers,Baltimore Orioles,8.0,6.0,0,0
2025-07-02,777269,Colorado Rockies,Houston Astros,11.0,8.0,0,0
2025-07-02,777262,Seattle Mariners,Kansas City Royals,7.0,5.0,0,0
2025-07-02,777270,Arizona Diamondbacks,San Francisco Giants,8.5,11.0,0,1
2025-07-02,777267,Los Angeles Dodgers,Chicago White Sox,9.5,9.0,0,0
2025-07-05,777230,Minnesota Twins,Tampa Bay Rays,10.0,11.0,0,1
2025-07-05,777228,Washington Nationals,Boston Red Sox,10.0,13.0,1,1
2025-07-05,777231,Toronto Blue Jays,Los Angeles Angels,9.5,7.0,1,0
2025-07-05,777229,Chicago Cubs,St. Louis Cardinals,11.5,14.0,1,1
2025-07-05,777233,Philadelphia Phillies,Cincinnati Reds,9.0,6.0,1,0
2025-07-05,777234,Arizona Diamondbacks,Kansas City Royals,9.0,8.0,0,0
2025-07-05,777237,Atlanta Braves,Baltimore Orioles,9.0,15.0,1,1
2025-07-05,777241,New York Mets,New York Yankees,9.5,18.0,1,1
2025-07-05,777238,Miami Marlins,Milwaukee Brewers,8.5,6.0,0,0
2025-07-05,777240,Cleveland Guardians,Detroit Tigers,9.0,1.0,1,0
2025-07-05,777232,Colorado Rockies,Chicago White Sox,11.0,13.0,0,1
2025-07-05,777221,Los Angeles Dodgers,Houston Astros,8.5,10.0,0,1
2025-07-05,777223,San Diego Padres,Texas Rangers,8.0,11.0,0,1
2025-07-05,777227,Athletics,San Francisco Giants,9.0,9.0,0,
2025-07-05,777225,Seattle Mariners,Pittsburgh Pirates,7.0,1.0,0,0
2025-05-01,778100,Pittsburgh Pirates,Chicago Cubs,8.0,11.0,0,1
2025-05-01,778107,Cincinnati Reds,St. Louis Cardinals,9.0,10.0,1,1
2025-05-01,778103,New York Mets,Arizona Diamondbacks,8.0,6.0,0,0
2025-05-01,778097,Tampa Bay Rays,Kansas City Royals,8.5,10.0,0,1
2025-05-01,778094,Chicago White Sox,Milwaukee Brewers,8.5,8.0,0,0
2025-05-01,778095,Toronto Blue Jays,Boston Red Sox,8.5,6.0,1,0
2025-05-01,778099,Philadelphia Phillies,Washington Nationals,10.0,6.0,1,0
2025-05-01,778108,Cleveland Guardians,Minnesota Twins,9.0,7.0,0,0
2025-05-01,778096,Texas Rangers,Athletics,8.5,3.0,0,0
2025-09-08,776409,Miami Marlins,Washington Nationals,8.5,22.0,0,1
2025-09-08,776405,Philadelphia Phillies,New York Mets,8.5,1.0,0,0
2025-09-08,776413,Cleveland Guardians,Kansas City Royals,7.5,12.0,0,1
2025-09-08,776412,Atlanta Braves,Chicago Cubs,8.5,5.0,1,0
2025-09-08,776406,Texas Rangers,Milwaukee Brewers,8.5,5.0,1,0
2025-09-08,776411,Los Angeles Angels,Minnesota Twins,9.5,15.0,0,1
2025-09-08,776407,San Diego Padres,Cincinnati Reds,7.5,7.0,0,0
2025-09-08,776400,Seattle Mariners,St. Louis Cardinals,7.5,6.0,0,0
2025-09-08,776410,Athletics,Boston Red Sox,9.0,7.0,1,0
2025-09-08,776399,San Francisco Giants,Arizona Diamondbacks,7.5,16.0,0,1
2025-09-08,776408,Los Angeles Dodgers,Colorado Rockies,9.0,4.0,0,0
2025-05-06,778046,Washington Nationals,Cleveland Guardians,9.5,10.0,0,1
2025-05-06,778026,Washington Nationals,Cleveland Guardians,9.0,19.0,0,1
2025-05-06,778035,Miami Marlins,Los Angeles Dodgers,10.0,9.0,1,0
2025-05-06,778037,Boston Red Sox,Texas Rangers,8.5,7.0,0,0
2025-05-06,778040,Tampa Bay Rays,Philadelphia Phillies,8.0,12.0,0,1
2025-05-06,778041,New York Yankees,San Diego Padres,8.0,15.0,0,1
2025-05-06,778034,Atlanta Braves,Cincinnati Reds,8.0,3.0,0,0
2025-05-06,778028,Minnesota Twins,Baltimore Orioles,9.0,10.0,1,1
2025-05-06,778031,Milwaukee Brewers,Houston Astros,8.0,7.0,1,0
2025-05-06,778033,Kansas City Royals,Chicago White Sox,8.5,7.0,0,0
